"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","usd_per_kg","lmat","ca_rda","fe_rda","se_rda","zn_rda","vita_rda","om_rda","nutrient_density","cost_caloric_adequacy","usd_per_100g","cost_100g_relative_to_cheapest_daily_diet"
"Mexico","North America","Americas","Upper middle income","Ablennes hians","Reef-associated fishes","Marine","Small-scale",44.8693548325,1.021128674225,64.7,4.41714964267355,3.92760744154701,100,14.7207925758504,8.12718852795799,35.3187178405648,166.511456028594,0.57,0.1021128674225,17.9145381442983
"Turkey","Western Asia","Asia","Upper middle income","Abramis brama","Carps, barbels and other cyprinids","Inland","Small-scale",60.1,1.360020142892,34.9,3.8365826445851,0.869674541258313,74.2778813176018,11.7045163795886,4.46190404747436,100,195.150558930508,0.62,0.1360020142892,21.9358087563226
"Maldives","Southern Asia","Asia","Upper middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Small-scale",12.625,3.02816689003534,81.4,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,0.88,0.302816689003534,34.4109873867653
"Mauritania","Western Africa","Africa","Lower middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Small-scale",86,0.939713114254407,81.4,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,0.82,0.0939713114254407,11.4599160274928
"Saint Lucia","Caribbean","Americas","Upper middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Small-scale",129.461098942,5.32104641025489,81.4,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,0.93,0.532104641025488,57.2155527984396
"Saint Vincent and the Grenadines","Caribbean","Americas","Upper middle income","Acanthocybium solandri","Tunas, bonitos, billfishes","Marine","Small-scale",16,7.46735445915739,81.4,3.73854973264272,5.56642379334813,100,10.6845488959591,1.07604955639316,26.2791625498365,147.34473452818,0.94,0.746735445915739,79.4399410548658
"Mexico","North America","Americas","Upper middle income","Mixed","Tunas, bonitos, billfishes","Marine","Small-scale",2865.014173175,1.75451094928315,80.2,3.24124792160901,3.84806689412036,100,11.5451210484899,2.77784370935113,26.6495983055016,148.061877879072,0.57,0.175451094928315,30.7808938470728
"Uganda","Eastern Africa","Africa","Low income","Acanthodoras spinosissimus","Freshwater catfishes","Inland","Small-scale",4308.75,0.278,9.2,43.2277738558624,5.88557711971119,100,45.1180083000064,8.37387906343285,24.0707780048884,226.676016343901,0.45,0.0278,6.17777777777778
"Ghana","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",25.22,1.59698280741539,21.1807692307692,5.61382095705277,2.50644333596369,91.0386116037615,35.8723724350421,7.01718513706184,12.884650933103,154.933084401985,0.78,0.159698280741539,20.4741385566075
"Kenya","Eastern Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",319.037725342142,1.59195140871055,21.1807692307692,7.93148686115456,3.17644104280865,74.8758407553006,50.3272873304069,7.2951201724228,12.4863421950268,156.09251835712,0.57,0.159195140871055,27.9289720826413
